ID_Agente,ID_Caso,Agente,Atributo,Género,Calidad,Labor,Relación_crímenes,Conteo_mínimo,Tipo_Institución,Doble_Atributo,RCDA,Proceso,
IDA7819,3599,Persona,Perpetrador,Hombre,Indígenas,Sin especificar,3599A,,null,,,,
IDA7820,3599,Persona,Perpetrador,Hombre,Indígenas,Sin especificar,3599A,,null,,,,
IDA7821,3599,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3599A,,null,,,,
IDA7822,3600,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3600A,,null,,,,
IDA7823,3600,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3600A,,null,,,,
IDA7824,3600,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3600A,,null,,,,
IDA7825,3601,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3601A,,null,,,,
IDA7826,3601,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3601A,,null,,,,
IDA7827,3602,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,"3602A, 3602B",,null,,,,
IDA7828,3602,Institución,Víctima,null,null,null,3602A,,La autoridad,,,,
IDA7829,3602,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,3602B,,null,,,,
