ID_Caso,ID_Documento,Archivo,Código_Referencia,Sección,Fondo,Legajo,Documento,Folios,Número_Folios,Source
2562,2562A,AGN,SC.19,Colonia,Criminales (Juicios),119,16,885-909,4-30,AGNSC.1911916885-9092562A
2563,2563A,AGN,SC.19,Colonia,Criminales (Juicios),119,16,885-909,4-30,AGNSC.1911916885-9092563A
2564,2564A,AGN,SC.19,Colonia,Criminales (Juicios),119,17,910-936,4-30,AGNSC.1911917910-9362564A
2565,2565A,AGN,SC.19,Colonia,Criminales (Juicios),119,18,937-1015,30+,AGNSC.1911918937-10152565A
2566,2566A,AGN,SC.19,Colonia,Criminales (Juicios),120,1,1-69,30+,AGNSC.1912011-692566A
2567,2567A,AGN,SC.19,Colonia,Criminales (Juicios),120,2,70-147,30+,AGNSC.19120270-1472567A
2568,2568A,AGN,SC.19,Colonia,Criminales (Juicios),120,3,148-232,30+,AGNSC.191203148-2322568A
2568,2568B,AGN,SC.19,Colonia,Criminales (Juicios),120,11,514-515,30+,AGNSC.1912011514-5152568B
2569,2569A,AGN,SC.19,Colonia,Criminales (Juicios),120,4,233-347,30+,AGNSC.191204233-3472569A
2569,2569B,AGN,SC.19,Colonia,Criminales (Juicios),120,4,233-347,30+,AGNSC.191204233-3472569B
2570,2570A,AGN,SC.19,Colonia,Criminales (Juicios),120,5,348-359,4-30,AGNSC.191205348-3592570A
2571,2571A,AGN,SC.19,Colonia,Criminales (Juicios),120,7,406-450,30+,AGNSC.191207406-4502571A
2571,2571B,AGN,SC.19,Colonia,Criminales (Juicios),120,7,406-450,30+,AGNSC.191207406-4502571B
2572,2572A,AGN,SC.19,Colonia,Criminales (Juicios),120,8,451-472,30+,AGNSC.191208451-4722572A
2572,2572B,AGN,SC.19,Colonia,Criminales (Juicios),120,8,451-472,30+,AGNSC.191208451-4722572B
2572,2572C,AGN,SC.19,Colonia,Criminales (Juicios),124,22,779-788,30+,AGNSC.1912422779-7882572C
2572,2572D,AGN,SC.19,Colonia,Criminales (Juicios),124,22,779-788,30+,AGNSC.1912422779-7882572D
2573,2573A,AGN,SC.19,Colonia,Criminales (Juicios),120,10,509-513,4-30,AGNSC.1912010509-5132573A
2573,2573B,AGN,SC.19,Colonia,Criminales (Juicios),120,10,509-513,4-30,AGNSC.1912010509-5132573B
2574,2574A,AGN,SC.19,Colonia,Criminales (Juicios),120,12,516-544,4-30,AGNSC.1912012516-5442574A
2575,2575A,AGN,SC.19,Colonia,Criminales (Juicios),120,13,545-548,1-3,AGNSC.1912013545-5482575A
2575,2575B,AGN,SC.19,Colonia,Criminales (Juicios),120,13,545-548,1-3,AGNSC.1912013545-5482575B
2576,2576A,AGN,SC.19,Colonia,Criminales (Juicios),120,14,549-550,1-3,AGNSC.1912014549-5502576A
2577,2577A,AGN,SC.19,Colonia,Criminales (Juicios),120,15,551-552,1-3,AGNSC.1912015551-5522577A
2577,2577B,AGN,SC.19,Colonia,Criminales (Juicios),120,15,551-552,1-3,AGNSC.1912015551-5522577B
2578,2578A,AGN,SC.19,Colonia,Criminales (Juicios),120,16,553-556,1-3,AGNSC.1912016553-5562578A
2578,2578B,AGN,SC.19,Colonia,Criminales (Juicios),120,16,553-556,1-3,AGNSC.1912016553-5562578B
2579,2579A,AGN,SC.19,Colonia,Criminales (Juicios),120,17,628-634,4-30,AGNSC.1912017628-6342579A
2579,2579B,AGN,SC.19,Colonia,Criminales (Juicios),120,17,628-634,4-30,AGNSC.1912017628-6342579B
2580,2580A,AGN,SC.19,Colonia,Criminales (Juicios),120,18,,1-3,AGNSC.19120182580A
2581,2581A,AGN,SC.19,Colonia,Criminales (Juicios),120,19,635-663,4-30,AGNSC.1912019635-6632581A
2582,2582A,AGN,SC.19,Colonia,Criminales (Juicios),120,21,718-744,4-30,AGNSC.1912021718-7442582A
2582,2582B,AGN,SC.19,Colonia,Criminales (Juicios),120,21,718-744,4-30,AGNSC.1912021718-7442582B
2583,2583A,AGN,SC.19,Colonia,Criminales (Juicios),120,22,745-750,4-30,AGNSC.1912022745-7502583A
2584,2584A,AGN,SC.19,Colonia,Criminales (Juicios),120,24,718-779,30+,AGNSC.1912024718-7792584A
2584,2584B,AGN,SC.19,Colonia,Criminales (Juicios),120,24,718-779,30+,AGNSC.1912024718-7792584B
2585,2585A,AGN,SC.19,Colonia,Criminales (Juicios),120,25,780-781,1-3,AGNSC.1912025780-7812585A
2585,2585B,AGN,SC.19,Colonia,Criminales (Juicios),120,25,780-781,1-3,AGNSC.1912025780-7812585B
