ID_Caso,TipoProceso,MujeresMencionadas,FechaInicial,Fecha_Final
136,Proceso judicial criminal identificable,1,1646,1646
137,Proceso judicial criminal identificable,,1646,1646
138,Proceso judicial criminal identificable,,1644,1644
139,Proceso judicial criminal identificable,1,1636,1636
140,Proceso judicial criminal identificable,1,1659,1659
141,Proceso judicial criminal identificable,,1636,1636
142,Proceso judicial criminal identificable,1,1639,1639
143,Proceso judicial criminal identificable,,1618,1618
144,Proceso judicial criminal identificable,1,1759,1759
145,Proceso judicial criminal identificable,,1766,1766
146,Proceso judicial criminal identificable,1,1759,1759
147,Proceso judicial criminal identificable,,1783,1783
148,Proceso judicial criminal identificable,1,1806,1806
149,Proceso judicial criminal identificable,1,1800,1804
150,Proceso judicial criminal identificable,,1628,1628
151,No es un proceso penal con delito identificable,,1606,1606
152,No es un proceso penal con delito identificable,,1804,1804
153,Proceso judicial criminal identificable,,1782,1782
154,Proceso judicial criminal identificable,1,1803,1803
155,Proceso judicial criminal identificable,,1803,1803
156,Proceso judicial criminal identificable,,1782,1782
157,Proceso judicial criminal identificable,1,1810,1810
158,Proceso judicial criminal identificable,,1578,1578
159,Proceso judicial criminal identificable,1,1742,1742
160,Proceso judicial criminal identificable,1,1779,1779
161,Proceso judicial criminal identificable,,1615,1615
162,Proceso judicial criminal identificable,,1807,1807
163,Proceso judicial criminal identificable,1,1592,1592
164,Proceso judicial criminal identificable,,1629,1629
165,Proceso judicial criminal identificable,1,1624,1624
166,Proceso judicial criminal identificable,1,1630,1630
167,No es un proceso penal con delito identificable,,1794,1794
168,Proceso judicial criminal identificable,,1800,1800
169,Proceso judicial criminal identificable,,1795,1795
170,No es un proceso penal con delito identificable,,1772,1772
171,Proceso judicial criminal identificable,,1806,1806
172,Proceso judicial criminal identificable,,1615,1615
173,Proceso judicial criminal identificable,,1630,1630
174,Proceso judicial criminal identificable,1,1625,1625
175,No es un proceso penal con delito identificable,,1791,1791
176,Proceso judicial criminal identificable,,1725,1725
177,No es un proceso penal con delito identificable,,1809,1809
178,Proceso judicial criminal identificable,1,1750,1750
179,Proceso judicial criminal identificable,,1755,1755
180,Proceso judicial criminal identificable,1,1808,1808
181,Proceso judicial criminal identificable,,1801,1801
182,Proceso judicial criminal identificable,1,1626,1626
183,No es un proceso penal con delito identificable,,1789,1789
184,Proceso judicial criminal identificable,,1596,1596
185,Proceso judicial criminal identificable,,1639,1639
186,Proceso judicial criminal identificable,,1639,1639
187,No es un proceso penal con delito identificable,,1609,1609
188,Proceso judicial criminal identificable,,1616,1616
189,Proceso judicial criminal identificable,1,1610,1610
190,Proceso judicial criminal identificable,,1610,1610
191,Proceso judicial criminal identificable,,1580,1580
192,No es un proceso penal con delito identificable,,1560,1560
193,No es un proceso penal con delito identificable,,1560,1560
194,Proceso judicial criminal identificable,,1807,1807
195,Proceso judicial criminal identificable,1,1805,1805
196,Proceso judicial criminal identificable,,1806,1806
197,No es un proceso penal con delito identificable,,1806,1806
198,Proceso judicial criminal identificable,,1803,1803
199,Proceso judicial criminal identificable,,1803,1803
200,Proceso judicial criminal identificable,1,1579,1579
201,Proceso judicial criminal identificable,,1561,1561
202,Proceso judicial criminal identificable,,1602,1602
203,Proceso judicial criminal identificable,1,1600,1600
204,No es un proceso penal con delito identificable,,1614,1614
205,Proceso judicial criminal identificable,,1679,1679
206,Proceso judicial criminal identificable,1,1613,1613
207,Proceso judicial criminal identificable,,1806,1806
208,Proceso judicial criminal identificable,,1804,1804
209,No es un proceso penal con delito identificable,,1751,1751
210,Proceso judicial criminal identificable,1,1582,1582
211,Proceso judicial criminal identificable,,1795,1795
212,Proceso judicial criminal identificable,,1805,1805
213,No es un proceso penal con delito identificable,,1802,1802
214,Proceso judicial criminal identificable,,1800,1800
215,No es un proceso penal con delito identificable,,1797,1797
216,Proceso judicial criminal identificable,1,1746,1746
217,Proceso judicial criminal identificable,1,1629,1629
218,Proceso judicial criminal identificable,1,1629,1629
219,Proceso judicial criminal identificable,,1623,1623
220,Proceso judicial criminal identificable,,1772,1772
221,Proceso judicial criminal identificable,,1618,1618
222,Proceso judicial criminal identificable,,1803,1803
223,Proceso judicial criminal identificable,,1742,1742
224,Proceso judicial criminal identificable,1,1792,1792
225,Proceso judicial criminal identificable,,1632,1632
226,Proceso judicial criminal identificable,,1658,1658
227,Proceso judicial criminal identificable,,1620,1620
228,Proceso judicial criminal identificable,,1795,1795
229,Proceso judicial criminal identificable,,1561,1561
230,Proceso judicial criminal identificable,1,1750,1750
231,Proceso judicial criminal identificable,,1614,1614
232,Proceso judicial criminal identificable,,1801,1801
233,Proceso judicial criminal identificable,,1801,1801
234,Proceso judicial criminal identificable,,1560,1560
235,Proceso judicial criminal identificable,1,1795,1795
236,Proceso judicial criminal identificable,,1806,1806
237,Proceso judicial criminal identificable,,1801,1801
238,Proceso judicial criminal identificable,1,1801,1801
239,Proceso judicial criminal identificable,,1736,1736
240,Proceso judicial criminal identificable,,1615,1615
241,Proceso judicial criminal identificable,1,1615,1615
242,Proceso judicial criminal identificable,,1796,1809
243,Proceso judicial criminal identificable,,1599,1599
244,Proceso judicial criminal identificable,,1799,1799
245,Proceso judicial criminal identificable,1,1618,1618
246,Proceso judicial criminal identificable,1,1782,1782
247,Proceso judicial criminal identificable,,1625,1625
248,Proceso judicial criminal identificable,1,1756,1756
249,Proceso judicial criminal identificable,1,1805,1805
250,Proceso judicial criminal identificable,,1634,1634
251,Proceso judicial criminal identificable,,1631,1631
252,Proceso judicial criminal identificable,,1653,1653
253,Proceso judicial criminal identificable,,1771,1771
254,Proceso judicial criminal identificable,1,1571,1571
255,Proceso judicial criminal identificable,1,1808,1808
256,Proceso judicial criminal identificable,,1725,1725
257,Proceso judicial criminal identificable,,1790,1790
258,Proceso judicial criminal identificable,,1762,1762
259,Proceso judicial criminal identificable,,1783,1783
260,Proceso judicial criminal identificable,1,1801,1801
261,Proceso judicial criminal identificable,,1636,1636
262,Proceso judicial criminal identificable,,1758,1758
263,Proceso judicial criminal identificable,1,1808,1808
264,Proceso judicial criminal identificable,,1759,1759
265,Proceso judicial criminal identificable,,1759,1759
266,Proceso judicial criminal identificable,,1636,1636
267,Proceso judicial criminal identificable,,1806,1806
268,Proceso judicial criminal identificable,1,1633,1633
269,Proceso judicial criminal identificable,1,1802,1802
270,Proceso judicial criminal identificable,,1626,1626
271,Proceso judicial criminal identificable,,1617,1617
272,Proceso judicial criminal identificable,,1787,1787
273,Proceso judicial criminal identificable,,1784,1784
274,Proceso judicial criminal identificable,1,1612,1612
275,Proceso judicial criminal identificable,,1798,1798
276,Proceso judicial criminal identificable,1,1808,1808
277,Proceso judicial criminal identificable,,1760,1760
278,Proceso judicial criminal identificable,,1806,1806
279,Proceso judicial criminal identificable,,1749,1749
280,Proceso judicial criminal identificable,,1783,1783
281,Proceso judicial criminal identificable,,1786,1786
282,Proceso judicial criminal identificable,,1789,1789
283,Proceso judicial criminal identificable,,1574,1574
284,Proceso judicial criminal identificable,1,1630,1630
285,Proceso judicial criminal identificable,1,1609,1609
286,Proceso judicial criminal identificable,,1666,1666
287,Proceso judicial criminal identificable,,1760,1760
288,No es un proceso penal con delito identificable,,1796,1796
289,Proceso judicial criminal identificable,1,1630,1630
290,Proceso judicial criminal identificable,,1635,1635
291,Proceso judicial criminal identificable,,1762,1762
292,Proceso judicial criminal identificable,,1751,1751
293,No es un proceso penal con delito identificable,,1802,1802
294,No es un proceso penal con delito identificable,,1798,1798
295,Proceso judicial criminal identificable,1,1669,1669
296,Proceso judicial criminal identificable,1,1800,1800
297,Proceso judicial criminal identificable,,1633,1633
298,No es un proceso penal con delito identificable,,1799,1799
299,No es un proceso penal con delito identificable,,1807,1807
300,No es un proceso penal con delito identificable,,1751,1751
301,Proceso judicial criminal identificable,,1590,1590
302,Proceso judicial criminal identificable,,1797,1797
303,Proceso judicial criminal identificable,1,1788,1788
304,Proceso judicial criminal identificable,1,1759,1759
305,Proceso judicial criminal identificable,,1750,1750
306,No es un proceso penal con delito identificable,,1712,1712
307,Proceso judicial criminal identificable,,1758,1758
308,Proceso judicial criminal identificable,1,1623,1623
309,Proceso judicial criminal identificable,1,1623,1623
310,Proceso judicial criminal identificable,,1723,1723
311,Proceso judicial criminal identificable,,1742,1742
312,No es un proceso penal con delito identificable,,1777,1777
313,Proceso judicial criminal identificable,1,1791,1791
314,Proceso judicial criminal identificable,,1787,1787
315,Proceso judicial criminal identificable,,1746,1746
316,No es un proceso penal con delito identificable,,1800,1800
317,Proceso judicial criminal identificable,,1799,1799
318,Proceso judicial criminal identificable,1,1808,1808
319,Proceso judicial criminal identificable,,1779,1779
320,Proceso judicial criminal identificable,,1799,1799
321,Proceso judicial criminal identificable,,1762,1762
322,Proceso judicial criminal identificable,1,1740,1740
323,Proceso judicial criminal identificable,1,1586,1586
324,No es un proceso penal con delito identificable,,1802,1802
325,Proceso judicial criminal identificable,,1806,1806
326,Proceso judicial criminal identificable,,1769,1769
327,Proceso judicial criminal identificable,,1800,1800
328,Proceso judicial criminal identificable,,1788,1788
329,No es un proceso penal con delito identificable,,1795,1795
330,Proceso judicial criminal identificable,,1789,1789
331,Proceso judicial criminal identificable,,1619,1619
332,Proceso judicial criminal identificable,1,1589,1589
333,No es un proceso penal con delito identificable,,1779,1779
334,Proceso judicial criminal identificable,1,1803,1803
335,Proceso judicial criminal identificable,1,1809,1809
336,Proceso judicial criminal identificable,,1796,1796
337,Proceso judicial criminal identificable,,1766,1766
338,Proceso judicial criminal identificable,,1761,1761
339,Proceso judicial criminal identificable,1,1609,1609
340,Proceso judicial criminal identificable,,1580,1580
341,Proceso judicial criminal identificable,,1745,1745
342,Proceso judicial criminal identificable,,1784,1784
343,Proceso judicial criminal identificable,1,1797,1797
344,Proceso judicial criminal identificable,,1785,1785
345,Proceso judicial criminal identificable,,1806,1807
346,Proceso judicial criminal identificable,,1802,1802
347,No es un proceso penal con delito identificable,,1803,1803
348,Proceso judicial criminal identificable,,1801,1801
349,Proceso judicial criminal identificable,,1793,1793
350,No es un proceso penal con delito identificable,,1745,1745
351,Proceso judicial criminal identificable,1,1802,1802
352,Proceso judicial criminal identificable,,1763,1763
353,Proceso judicial criminal identificable,1,1805,1805
354,Proceso judicial criminal identificable,1,1796,1796
355,Proceso judicial criminal identificable,1,1619,1619
356,Proceso judicial criminal identificable,,1801,1801
357,Proceso judicial criminal identificable,,1631,1631
358,Proceso judicial criminal identificable,,1563,1563
359,Proceso judicial criminal identificable,1,1653,1653
360,Proceso judicial criminal identificable,,1618,1618
361,Proceso judicial criminal identificable,,1789,1789
362,Proceso judicial criminal identificable,,1804,1804
363,Proceso judicial criminal identificable,1,1629,1629
364,Proceso judicial criminal identificable,,1638,1638
