ID_Lugar,Lugar,Latitud,Longitud,Clasificación,País_Contemporáneo,Notas
LID415,Tipacoque,6.421248104871477,-72.69152001376617,Municipio,Colombia,null
LID416,Tiribitá,5.053020843257471,-73.50475323846914,Municipio,Colombia,null
LID417,Tobasía,5.85671992708742,-72.9440582439138,Municipio,Colombia,null
LID418,Toca,5.564884688924924,-73.18479305853172,Municipio,Colombia,null
LID419,Tocaima,4.458241094026464,-74.63399357453606,Municipio,Colombia,null
LID420,Tocancipá,4.965814,-73.913549,Municipio,Colombia,null
LID421,Tolú,9.524703213140329,-75.5837738905703,Municipio,Colombia,null
LID422,Tona,7.202798571165228,-72.96592059868523,Municipio,Colombia,null
LID423,Tópaga,5.768376,-72.832776,Municipio,Colombia,null
LID424,Toro,4.609105298655705,-76.0839426991002,Municipio,Colombia,null
LID425,Tota,5.561016,-72.985917,Municipio,Colombia,null
LID426,Trinidad de los Muzos,5.532889103155001,-74.1054510530298,Municipio,Colombia,Posiblemente en Muzo
LID427,Trinidad y Guayana,8.356529979609359,-60.24307463150841,País,Trinidad y Tobago,null
LID428,Tuluá,4.085822,-76.197263,Municipio,Colombia,null
LID429,Tumaco,1.8086344152115967,-78.76659985815768,Municipio,Colombia,null
LID430,Tunja,5.532952928827296,-73.36152790640982,Municipio,Colombia,null
LID431,Tunjuelo,4.5312334973174755,-74.13023943329951,Sitio espesifíco,Colombia,Río
LID432,Tupía,3.40284,-76.30911,Sitio espesifíco,Colombia,null
LID433,Túquerres,1.0883997149398035,-77.61915598902166,Municipio,Colombia,null
LID434,Turbaco,10.331541590263177,-75.40790521307076,Municipio,Colombia,null
LID435,Turmequé,5.324427123532315,-73.49061269707596,Municipio,Colombia,null
LID436,Tuta,5.691406430012133,-73.22800752806438,Municipio,Colombia,null
LID437,Ubaque,4.4824819479314035,-73.93489990150957,Municipio,Colombia,null
LID438,Ubaté,5.306889374463801,-73.81486432530691,Municipio,Colombia,null
LID439,Umbita,5.221359196809389,-73.45661256008071,Municipio,Colombia,null
LID440,Une,4.403782975399714,-74.02480512785169,Municipio,Colombia,null
LID441,Urrao,6.317956391540339,-76.13447069857696,Municipio,Colombia,null
LID442,Usaquen,4.7030038916969525,-74.03583528247019,Sitio espesifíco,Colombia,Hoy localidad en Bogotá
LID443,Usme,4.509104692124321,-74.11346727242064,Sitio espesifíco,Colombia,Hoy localidad en Bogotá
LID444,Uvita,6.318159281055363,-72.56026011967892,Municipio,Colombia,null
LID445,Valencia de Jesús,10.302772893763677,-73.39374747938157,Sitio espesifíco,Colombia,null
LID446,Valle de Jesús María,5.876043032986137,-73.7836271532648,Sitio espesifíco,Colombia,null
LID447,Valle del Patía,1.989319,-77.151325,Región,Colombia,null
LID448,Valledupar,10.47986176603368,-73.24402857768364,Municipio,Colombia,null
LID449,Varios,null,null,Ilocalizable,Ilocalizable,null
LID450,Vega de Supía,5.458250800515089,-75.64909468307236,Sitio espesifíco,Colombia,null
LID451,Vélez,6.012512,-73.671915,Municipio,Colombia,null
LID452,Venadillo,4.722325122535069,-74.92649622670179,Municipio,Colombia,null
LID453,Venezuela,6.96216546072494,-65.90003914175242,País,Venezuela,null
LID454,Veraguas,8.254521496917606,-81.11007042159386,Departamento/Provincia,Panamá,null
LID455,Vergara,5.119044085233791,-74.34519925580648,Municipio,Colombia,null
LID456,Victoria,5.317461257224903,-74.91189194110908,Municipio,Colombia,null
LID457,Villa de Leiva,5.634278637267507,-73.52373255598168,Municipio,Colombia,null
LID458,Villa del Rosario,7.844593043107006,-72.47113010328616,Municipio,Colombia,null
LID459,Villeta,5.0117205964206875,-74.47019515995395,Municipio,Colombia,null
LID460,Viracachá,5.436974366044126,-73.29731462904472,Municipio,Colombia,null
LID462,Yacopí,5.460420322753906,-74.33775210818041,Municipio,Colombia,null
LID463,Yaguará,2.6629530242261414,-75.51605947572799,Municipio,Colombia,null
LID464,Yolombó,6.6002101215886535,-75.01211377934834,Municipio,Colombia,null
LID465,Yucal,10.1282,-74.95183,Sitio espesifíco,Colombia,null
LID466,Zapatoca,6.817229462215184,-73.26878604362928,Municipio,Colombia,null
LID467,Zaragoza,7.492187659552336,-74.86777022368864,Municipio,Colombia,null
LID468,Zetaquirá,5.281967927270357,-73.16848421434014,Municipio,Colombia,null
LID469,Zipacón,4.759841550536558,-74.37961901562568,Municipio,Colombia,null
LID470,Zipaquirá,5.023869930967913,-74.00301010643146,Municipio,Colombia,null
LID471,Cerro San Antonio,10.32473117029212,-74.86800558792828,Municipio,Colombia,null
