"ID_Caso","ID_Documento","Descripción","Código","Sub_Código","Año","Lugar","Especificaciones","Source","crimen","subcrimen"
"1190","1190C","Sumario instruido por Lorenzo José Ardila Tavera, Alcalde del Socorro, a Jacobo Patiño, por hurtos, blasfemas, riñas, resistencia a la autoridad y otros delitos.","16","16.3","1808","El Socorro","Decisión metodológica","AGNSC.195912732-8081190C","Injuria","Blasfemia"
"1190","1190D","Sumario instruido por Lorenzo José Ardila Tavera, Alcalde del Socorro, a Jacobo Patiño, por hurtos, blasfemas, riñas, resistencia a la autoridad y otros delitos. (1)","4","4.2","1808","El Socorro","Decisión metodológica","AGNSC.195912732-8081190D","Violencia","Riña"
"1190","1190E","Sumario instruido por Lorenzo José Ardila Tavera, Alcalde del Socorro, a Jacobo Patiño, por hurtos, blasfemas, riñas, resistencia a la autoridad y otros delitos. (2)","4","4.2","1808","El Socorro","Decisión metodológica","AGNSC.195912732-8081190E","Violencia","Riña"
"1190","1190F","Sumario instruido por Lorenzo José Ardila Tavera, Alcalde del Socorro, a Jacobo Patiño, por hurtos, blasfemas, riñas, resistencia a la autoridad y otros delitos.","19",,"1808","El Socorro","Decisión metodológica","AGNSC.195912732-8081190F","Desacato","Delitos"
"1190","1190G","Sumario instruido por Lorenzo José Ardila Tavera, Alcalde del Socorro, a Jacobo Patiño, por hurtos, blasfemas, riñas, resistencia a la autoridad y otros delitos.","33",,"1808","El Socorro","Ambiguos","AGNSC.195912732-8081190G","Ambiguos","Delitos"
"1191","1191A","Enumeración de causas criminales pendientes en los juzgados del El Socorro, con su correspondiente especificación.","33",,"1803","El Socorro","Ambiguos","AGNSC.195914860-8691191A","Ambiguos","Delitos"
"1192","1192A","Nota remisoria de las causas criminales de los juzgados de Honda.","33",,"1802","Honda","Ambiguos","AGNSC.195915870-8711192A","Ambiguos","Delitos"
"1192","1192B","Nota remisoria de las causas criminales de los juzgados de Honda.","28","28.4","1802","Honda","Códigos señalados","AGNSC.195915870-8711192B","Tipo de documento diferente a sumario ","Notas"
"1193","1193A","Lista de las causas criminales, seguidas en la ciudad de Antioquia.","33",,"1803","Antioquia (Departamento)","Ambiguos","AGNSC.1959168721193A","Ambiguos","Delitos"
"1194","1194A","Enumeración de causa criminales, seguidas en el juzgado de Mompós.","33",,"1803","Mompós","Ambiguos","AGNSC.195917873-8821194A","Ambiguos","Delitos"
"1195","1195A","Lista de causas criminales, seguidas en el juzgado de la ciudad de Antioquia.","33",,"1803","Antioquia (Departamento)","Ambiguos","AGNSC.195918883-8861195A","Ambiguos","Delitos"
"1196","1196A","Sumario instruido por José de Uribe y Santos, Alcalde de Oiba, a Juan Bautista Ayala y Apolinar Calvete, por robo, de ganado mayor.","20","20.1","1810","Oiba","Perfectos","AGNSC.195920891-9151196A","Robo","Robo"
"1197","1197A","Sumario instruido por Nicolás de Vargas, Alcalde Monguí, a Juan Agustín Ayala, vecino de Charalá, por el homicidio de Francisco Aguillón.","1","1.1","1800","Charalá","Perfectos","AGNSC.195921916-9601197A","Homicidio","Homicidio"
"1198","1198A","Demanda ante las autoridades civiles y eclesiásticas de Antonia Manuela de Salvá contra Manuel de Herrera, para que éste fuera compelido a casarse con ella.","9","9.6","1773","Vélez","Decisión metodológica","AGNSC.195922961-9681198A","Estupro","Romper palabra de materimonio"
"1199","1199A","Causa seguida por José María Villamil, alcalde de Curití, a Javier Martínez, por el robo de ganado mayor.","20","20.1","1806","Curití","Perfectos","AGNSC.195923969-9901199A","Robo","Robo"
"119","119A","Sumario instruído por el Alcalde de Tocaima, al soldado Bartolomé López Galarza, por heridas causadas a Jacinto Cortés","4","4.1","1803","Tocaima","Perfectos","AGNSC.19523833-896119A","Violencia","Heridas"
