ID_Caso,ID_Crímen,Descripción
22,22A,"Causa seguida a Juan de Mondragón e Isabel,india, por **amancebamiento**"
23,23A,"**Petición **de Francisco Rodríguez Galeano, encomendero de Sopó, sobre acrecentamiento de su encomienda."
24,24A,"Notas remisoras del sumario instruído a Marcos Hernández, por **uxoricida **de Ana María Triana** **y homicidio de Benita Aguilar"
24,24B,"Notas remisoras del sumario instruído a Marcos Hernández, por** **uxoricida de Ana María Triana y **homicidio **de Benita Aguilar"
24,24C,"**Notas **remisoras del sumario instruído a Marcos Hernández, por uxoricida de Ana María Triana y homicidio de Benita Aguilar"
25,25A,**Notas **remisorias de los reos Baltazar Reyes y Marcos Aranda.
25,25B,**Notas remisorias de los reos** Baltazar Reyes y Marcos Aranda.
26,26A,"**Indulto **concedido por el Virrey Amar y Borbón, con ocasión de la coronación de Fernando VII"
26,26B,"**Indulto **concedido por el Virrey Amar y Borbón, con ocasión de la coronación de Fernando VII"
27,27A,"Petición de Nicolás Ramírez, encausado por el **homicidio **de Antonio Torres sobre que se le concediera indulto"
27,27B,"**Petición **de Nicolás Ramírez, encausado por el homicidio de Antonio Torres sobre que se le concediera **indulto**"
28,28A,"Juicio seguido a Bartolomé Rodríguez y Juan León, por **riña **que tuvieron a espada."
29,29A,"Demanda de Ana de Orellana contra Micaela, mestiza, por un plato de plata que le **robó**."
30,30A,"Juicio seguido a Bartolomé Ortíz, por **pendenciero**."
31,31A,"Causa seguida por Luis Sánchez a Javier de Torres, por **concubinato**. "
32,32A,"Causa seguida a Melchor Antonio Maldonado, por **robos**, y sentencia de muerte pronunciada contra él por Juan de Cárdenas Barajas, Corregidor de Tunja, revocada por el fiscal Antonio de Salazar Falcón "
33,33A,"Sumario instruido a Laureano Pinzón, remitido por el alcalde de Ubaque, por **irrespetos **al alcalde de Chipaque"
34,34A,"José María García Conde, sus **peticiones de excarcelación**"
34,34B,"José María García Conde, sus peticiones de **excarcelación**"
35,35A,"Causa seguida a Juan Romero, por **tentativa de uxoricidio** en María Álvarez"
36,36A,"**Acuerdo de la Real Audiencia**, sobre remisión de reos a los presidios de Cartagena y La Habana."
36,36B,"Acuerdo de la Real Audiencia, sobre **remisión de reos** a los presidios de Cartagena y La Habana."
36,36C,"Acuerdo de la Real Audiencia, sobre remisión **de reos** a los presidios de Cartagena y La Habana."
37,37A,"Luis de Medina, por sí y sus hermanos, se querella del alcalde de Caparrapí, quien lo desposeyó de sus bienes, y pide Real Provisión compulsoria, **para lo actuado por dicho funcionario**"
37,37B,"Luis de Medina, por sí y sus hermanos, se querella del alcalde de Caparrapí, quien lo desposeyó de sus bienes, y **pide Real Provisión compulsoria**, para lo actuado por dicho funcionario"
37,37C,"Luis de Medina, por sí y sus hermanos, se querella del alcalde de Caparrapí, quien lo desposeyó de sus bienes, y **pide Real Provisión compulsoria**, para lo actuado por dicho funcionario"
38,38A,"Sumario por **hurtos**, instruído por el alcalde del Santo Ecce-homo, a Francisco Parra."
38,38B,"Indagatorias de testigos en la causa por pequeños hurtos, seguida a Francisco Parra, y a los cuales tuvieron lugar en el valle del Santo Ecce-Homo."
